_key,author,description,id,image,ownerNumber,price,title,type
03 04 202420:23:50,"Mihai Morar, Părintele Necula","Un dialog sincer și necesar despre puterea cuvintelor, puterea oamenilor și puterea Lui Dumnezeu, care îți oferă reperele de care ai nevoie într-o lume în schimbare. O invitație la unitate, credință și adevăr Cuvintele Părintelui Necula creează punți între religii, între credincioși și atei, aducând oamenii mai aproape de marile adevăruri ale învățăturilor creștine. Într-o epocă a deznădejdii și a fricii, acest dialog dintre Mihai Morar și Părintele Necula abordează fără teamă subiectele dificile ale actualității. Fiecare răspuns oferit la întrebările pline de miez adresate de Mihai Morar încurajează cititorii să-și păstreze întotdeauna speranța și credința. Astfel, pagină cu pagină, se conturează un alt mod de a privi lumea și problemele sale, adoptând o perspectivă plină de înțelegere, iubire și încredere în puterea și frumusețea Lui Dumnezeu. „Ce ar mai fi de zis? O vom face probabil în timpul cât Dumnezeu ne va îngădui să o mai facem. Când vom fi plecați, undeva, într-un colț de bibliotecă și această rogojină de carte pe care ne-am lăsat sufletele la vedere. Mulțumesc, Mihai, pentru prietenie. Și celor ce ne sunt prieteni ori dușmani, deopotrivă, sănătate. Nu mai e vreme de ură. De mușcat din morminte. Din văzduh, din bunici și părinți. E vremea să căutăm sens vieților noastre. ” – Părintele Constantin Necula Citat din carte „Mihai, nu există lege care să ne facă să ne iubim! Poți să dai câte decrete vrei, oricâte hotărâri de Consiliu Național al nu-știu-cui, n-are nicio treabă, n-are! Iubirea nu încape în lege! Ea e exercițiul cel mai bun de supraviețuire!” Recenzii „Părintele Constantin Necula este convins că oamenii au nevoie să primească învăţătura de credinţă printr-o atitudine binevoitoare, nicidecum printr-o privire încruntată, acompaniată de un ton superior. De aceea, caută mereu să aibă un discurs viu, dezbrăcat de platitudini şi de limbajul de lemn pe care-l auzim de obicei în cuvântările feţelor bisericeşti ”– Adevărul.ro „Părintele Constantin Necula e un risipitor. Acest fapt nu mai reprezintă pentru nimeni un secret. Împarte cu nemiluita, încoace și încolo, fără a avea vreo strategie, sau a se drămui, într-un fel sau altul, bucurie și cuvânt ziditor.” – Protos. Maxim Morariu, doctor în teologie al Facultății de Teologie Ortodoxă din Cadrul UBB, Cluj-Napoca. „Se spune că cel mai bun tovarăş de drum nu este cel care cunoaşte acel drum, ci cel care-l descoperă împreună cu tine”. – Romeo Petrașciuc, orthodox.md Mă bucur că Părintele Constantin Necula face parte din lumea lui Mihai Morar! Abia aștept cartea, pe care o vreau neapărat cu autografe și cu două gânduri din partea amândurora, îmi sunt dragi și îmi sunt prieteni. Cartea o voi ține pe raftul meu de lângă pat. Eu seara citesc câteva rânduri care să-mi liniștească spiritul. Ăsta e ritualul meu de dinainte de somn: ori ascult muzică clasică ori citesc... este foarte important ca înainte de a dormi să avem o stare de liniște, chiar povestea un psiholog că sunt foarte importante ultimele 20 de minute de dinainte de a adormi. Într-o lume în care se vorbește în gura mare doar despre tehnologie, avem nevoie și de un mic manual care să știe cum ,,să tacă”despre frumusețea veșniciei sufletului. – Daniel Buzdugan, om de radio Să dai Vieții copii… suprema putere a lui a fi. Asta spune MIhai Morar, copilul. Așa am învățat și noi, ceilalți copii, să fim. Îl știu pe Mihai somnoros, chiar și când nu s-a putut trezi cu ocazia unor sesiuni de jogging. Îl știm vorbăreț, un om ce poate alerga un întreg matinal de câteva ore. Acum, l-am descoperit pe Mihail, copilul, dar și pe adultul care ne arată, din perspectiva lui, un sens al vieții. Așa să ne trăiești și să ne încânți cum doar tu știi, fain și simplu. – Radu Vâlcan, actor și prezentator TV Cărțile sunt televizorul oamenilor deștepți și mă bucură atunci când cineva mai construiește și astfel de televizoare. Părintele Necula și Mihai par să vină din lumi pe cât de diferite pe atât de apropiate și, cum amândoi îmi sunt apropiați, sunt sigur că veți găsi în rândurile scrise de ei și voi, apropierea. Toate cărțile, oricare ar fi ele, au măcar un cuvânt despre iubire. Despre asta e cartea lor. Pentru că cel ce nu iubeşte n-a cunoscut pe Dumnezeu, pentru că Dumnezeu este iubire (I Ioan 4,8). - Dan Negru, prezentator TV",03 04 202420:23:50,https://firebasestorage.googleapis.com/v0/b/bookstore-7c44c.appspot.com/o/Book%20Images%2FIMG_202403004_202343.jpg03%2004%20202420%3A23%3A50.jpg?alt=media&token=db18b501-6ec1-4be0-b5f8-c8de6ccb4ead,0734199140,60,Despre sensul vieții,"dezvoltare personală, spiritualitate "
03 04 202420:24:20,"Prof. Dr. Dumitru Constantin Dulcan, Florentina Fântânaru","O carte care îți răspunde la întrebări: Care sunt secretele longevității? Cum ne putem folosi subconștienul în procesul de vindecare? Ce impact au gândurile și emoțiile negative asupra sănătății noastre? Poate rugăciunea să contribuie la vindecare? Cum putem lua decizii dificile, urmându-ne mintea sau inima? Ce putem face pentru ne recupera energia după o zi stresantă? Un dialog care te pune pe gânduri În lumea noastră tot mai încrâncenată, tot mai măcinată de boli și suferință, Profesorul Dumitru Constantin Dulcan ne invită să descoperim cheia vindecării în interiorul nostru, acolo unde se ascunde o adevărată comoară de resurse pusă în noi de Univers. Savant vizionar, profesor, neurolog, psihiatru, filosof al științei și scriitor, Prof. Univ. Dr. Dumitru Constantin Dulcan pune în acest dialog revelator purtat cu Florentina Fântânaru esența cercetărilor sale de-o viață, oferind cititorilor sfaturi practice pentru o viață trăită în armonie, cu bucurie și sănătate. Noțiunile de medicină, biologie, fizică cuantică și psihologie se împletesc în răspunsurile oferite de profesorul Dulcan, ghidându-ne pe calea vindecării, calea întoarcerii spre interior, spre emoțiile și gândurile care ne definesc umanitatea. Pentru a păși pe această cale, trebuie doar să devenim conștienți de puterea incredibilă a gândurilor noastre de a ne transforma pe noi și lumea în care trăim. Această carte este pentru tine dacă: Ai nevoie de răspunsuri rapide la întrebările care te frământă despre viață și sănătate. Ești curios să descoperi ce impact au gândurile și emoțiile asupra sănătății tale. Vrei să afli secretele longevității de la cel mai cunoscut neurolog din România. Ai nevoie de ajutor pentru a face față stresului și evenimentelor neprevăzute. Îți dorești să îți antrenezi mintea și inima pentru a putea trăi cu mai multă bucurie. Plutim pe o navă în derivă. Ne mai putem salva? În vremuri tot mai agitate, sfâșiate de ură și război, Profesorul Dulcan ne îndeamnă să facem pace mai întâi în interiorul nostru. Între inimă și minte. Doar astfel vom putea păși pe calea vindecării, doar astfel vom reuși, în sfârșit, să facem saltul de la inteligență la înțelepciune. Descoperă calea echilibrului între minte și inimă!",03 04 202420:24:20,https://firebasestorage.googleapis.com/v0/b/bookstore-7c44c.appspot.com/o/Book%20Images%2FIMG_202403004_202414.jpg03%2004%20202420%3A24%3A20.jpg?alt=media&token=9ba3c2f5-8b3b-4a13-9eb0-0d5ddef900e8,0734199140,50,Calea vindecării,"medicina, spiritualitate "
03 04 202420:24:52,Dr. Shefali,"Această carte este pentru tine dacă: Îți lipsește încrederea în tine și ai tendința să te auto-sabotezi. Te ferești cu orice preț de conflicte sau discuții dificile, chiar dacă acest lucru înseamnă tolerarea unor comportamente abuzive. Te confrunți cu stări de epuizare cronică, apatie și confuzie pentru care nu ai o explicație rațională. Teama de eșec sau de respingere te împiedică să îți asumi riscuri calculate în carieră sau în viața personală. Te simți adesea copleșită de așteptările celorlalți și de propriile tale așteptări. Ai nevoie de validare exterioară pentru a îți aprecia realizările. Te temi să-ți exprimi opiniile și să lupți pentru propriile scopuri și dorințe în relația de cuplu sau în mediul profesional. Cartea femeilor care merită mai mult te invită să faci primii pași către o viață trăită deplin, în perfect acord cu sinele tău autentic, dincolo de teama de respingere sau de eșec, dincolo de tipare comportamentale moștenite de la o generație la alta și de prejudecăți.",03 04 202420:24:52,https://firebasestorage.googleapis.com/v0/b/bookstore-7c44c.appspot.com/o/Book%20Images%2FIMG_202403004_202450.jpg03%2004%20202420%3A24%3A52.jpg?alt=media&token=21cb7956-1b7e-4c03-b96d-828feb882664,0734199140,0,Cartea femeilor care merită mai mult editat,dezvoltare personală
03 04 202420:25:26,Dr. Alexandru Ciurea,"Aici e cheia care mișcă această carte spre inima noastră. Profesorul Ciurea știe, a învățat din întreaga plăsmuire a vieții, cu bune și rele, cu biruințe și crâncene înfrângeri, că a fi om este fundamentul de lumină al oricărui specialist. Și că nu, nu poți fi un specialist mare dacă ești mic ca om, ca profesionist vocațional ori ca om al cotidianului. Părintele Constantin Necula – Prodecan al Facultății de Teologie din Sibiu Această carte ne vorbește explicit despre natura noastră complicată și vremelnică, din perspectiva unuia dintre cele mai miraculoase și tainice organe ale corpului uman: creierul. Cel care încearcă și reușește, nu de puține ori, să ne uluiască, este unul dintre cei mai înalți și înțelepțiți oameni de pe la noi, doctorul, profesorul și academicianul Vlad Ciurea. Horațiu Mălăele - Actor, regizor, artist grafic și scriitor O descriere atotcuprinzătoare și în același timp pe înțelesul tuturor a celui mai important organ, organul suprem: creierul, venită din condeiul unuia dintre cei mai mari neurochirurgi contemporani; această carte unește lumea medicală de cea non-medicală precum unește corpul calos cele două emisfere - și dacă nu înțelegi asta atunci trebuie să citești această carte. Un must have în 2022! Dr. Mihai Pautov – Medic Specialist Chirurgie Generală O carte care îți răspunde la întrebări: Ce alimente ar trebui să consumăm pentru a sprijini performanțele intelectuale? Cât de eficiente sunt stimulente precum cafeaua? Cum și când ar trebui consumate? Cum ne putem antrena creierul pentru a fi cât mai sănătos? Ce se întâmplă atunci când visăm, dormim sau suntem stresați? Ce putem face pentru a ne ajuta creierul să se odihnească? Cum recunoaștem depresia și epuizarea nervoasă și ce putem face pentru a ne regăsi echilibrul? Ce impact au gândurile pozitive și negative asupra sănătății creierului nostru? Ce este neuroplasticitatea și în ce măsură se regenerează celulele nervoase? Aceasta carte este pentru tine dacă: Te simți obosit permanent sau te confrunți cu sindromul burnout și ai nevoie de sfaturi avizate pentru a depăși această stare. Vrei să înveți să ai grijă de creierul tău pentru a te feri de boli degenerative precum Alzheimer și Parkinson, sau de afecțiuni neurovasculare care pot duce la accidente vasculare grave. Îți dorești să performezi mai bine la locul de muncă fără să sacrifici timpul petrecut cu prietenii sau familia. Ești părinte și vrei să-i asiguri copilului tău mediul ideal pentru o dezvoltare armonioasă a sistemului nervos. Ești interesat de un stil de viață sănătos și vrei să descoperi ce schimbări poți face pentru a-ți menține creierul într-o stare optimă. Ești pur și simplu curios și îți dorești să afli mai multe despre bijuteria care îți permite să te bucuri de viață.",03 04 202420:25:26,https://firebasestorage.googleapis.com/v0/b/bookstore-7c44c.appspot.com/o/Book%20Images%2FIMG_202403004_202523.jpg03%2004%20202420%3A25%3A26.jpg?alt=media&token=62b8bd08-1ada-4a17-99ca-546764e4a800,0734199140,0,Sănătatea creierului pe înţelesul tuturor,Medical
03 04 202420:26:18,Agatha Christie,"Linnet Ridgeway a dus până acum o viaţă ca-n povești. Binecuvântată cu frumusete,o avere enormă si un sot devotat, are tot ce ţi-ai putea dori. Dar, atunci când proaspătul cuplu pleacă într-o croazieră pe Nil, nori de furtună încep să se adune.
 Fosta prietenă a lui Linnet, Jacqueline de Bellefort, îi urmărește pretutindeni. Are loc un atentat la viata bogatei moștenitoare, apoi soțul său, Simon Doyle, este împușcat. Linnet are toate motivele să își facă griji. Un pistol, o crimă ciudată, mulți suspecţi, o nouă enigmă de rezolvat pentru un pasager neobişnuit: Hercule Poirot",03 04 202420:26:18,https://firebasestorage.googleapis.com/v0/b/bookstore-7c44c.appspot.com/o/Book%20Images%2FIMG_202403004_202542.jpg03%2004%20202420%3A26%3A18.jpg?alt=media&token=ccabcc95-ee3a-490c-bb5c-2200e49ffd1e,0734199140,45,Moarte pe Nil,crimă
03 04 202420:28:08,Dale Carneige,"Dale Carnegie avea o capacitate extraordinară de a-i face pe oameni să devină conștienţi de abilitățile lor ascunse, să fie mai eficienţi si mai încrezători în sine. Fie că dorești să reuşeşti în afaceri, să-ți sporești veniturile ori să ai relaţii avantajoase, urmează principiile sale pentru obținerea succesului, extrase din interviurile susținute de autor atât cu oameni obişnuiți, cât și cu diverse personalităţi, și vei putea progresa în orice aspect al vietii tale.",03 04 202420:28:08,https://firebasestorage.googleapis.com/v0/b/bookstore-7c44c.appspot.com/o/Book%20Images%2FIMG_202403004_202634.jpg03%2004%20202420%3A28%3A08.jpg?alt=media&token=6333db85-8058-4080-9969-e9b8c30ae540,0734199140,0,Principiile succesului,dezvoltare personală
03 04 202420:29:01,Dale carneige,"Dale Carnegie spunea că ,succesul înseamnä să obții ceea ce vrei, iar fericirea înseamnă să vrei ceea ce ai obținut""
 Dar ce anume iși doresc oamenii? Ei bine, de cele mai multe ori, e vorba despre o carieră ascendentă, prieteni de încredere, o familie iubitoare, un trai decent... și altele asemenea Desigur, motivele pentru care un om își dorește ceva anume sunt complet personale, însă metodele prin care își poate atinge obiectivul sunt general valabile. lar metodele din cartea de față au fost testate de peste 15 milioane de cititori de pe cinci continente, pe parcursul a trei sferturi de secol. Volumul de față a ajuns, cu timpul, să fie cea mai vândută carte motivațională publicată vreodată. Sfaturile lui Dale Carnegie vă arată cum să deveniți un interlocutor agreabil, de ce e bine să faceţi complimente dezinteresate, când e cazul să vă retrageți dintr-o dispută, ce anume trezește dorința de cooperare a partenerilor, cum să faceți o bună impresie de la prima întâlnire cất de important e zâmbetul, prin ce strategii vă puteţi autopromova în ochii celorlalti, în ce fel puteţi adresa critici fără să provocaţi resentimente, de ce e recomandat să vă admiteți proprile greșeli înainte de a le face reproșuri altora, cât de adevărat e proverbul care spune că ,vorba dulce mult aduce"", cum să răspundeți la plângerile altora, unde se termină sinceritatea și începe brutalitatea, de ce nu funcționează pe termen lung strategia de a da ordine, cum să vă ajutați ajutându-i pe ceilalţi-si multe altele Carnegie dovedește că, în cele din urmă, ceilalți ne vor trata exact așa cum îi tratăm. Comportamentul interlocutorilor oglindește propriul comportament.",03 04 202420:29:01,https://firebasestorage.googleapis.com/v0/b/bookstore-7c44c.appspot.com/o/Book%20Images%2FIMG_202403004_202835.jpg03%2004%20202420%3A29%3A01.jpg?alt=media&token=61e7ed6e-8db9-4f89-9f02-4db3ce15df8d,0734199140,40,Secretele succesului,dezvoltare personală
03 04 202420:29:48,Agatha Christie,"Cand o fetita este gasita moarta, inecata, dupa ce s-a laudat ca a vazut o crima, faimoasa scriitoare de romane politiste Ariadne Oliver il cheama pe vechiul sau prieten Hercule Poirot pentru a-l descoperi pe ucigas Cine si de ce ar fi avut motiv sa omoare un copil nevinovat? Poate ca povestea spusa de Joyce nu era, pana la urma, una dintre obisnuitele ei minciuni, menite a-i impresiona pe ceilalti? Poirot va trebui sa faca apel la toata ingeniozitatea sa pentru a descalci misterul unor decese si al unei disparitii suspecte, dar mai ales pentru a impiedica savarsirea altor crime.",03 04 202420:29:48,https://firebasestorage.googleapis.com/v0/b/bookstore-7c44c.appspot.com/o/Book%20Images%2FIMG_202403004_202916.jpg03%2004%20202420%3A29%3A48.jpg?alt=media&token=9cadece2-7ef0-423a-b4ba-8777dc84f718,0734199140,0,Bântuind prin Veneția,crimă
03 04 202420:30:33,Agatha Christie,"Un afacerist american găsit mort într-un compartiment închis pe dinăuntru din luxosul Orient Express, douăsprezece lovituri de cuțit și doisprezece călători, toți suspecţi. De data aceasta insă, victima, a cărei moarte o investighează Hercule Poirot, nu mai este deloc nevinovată.
 Pe parcursul anchetei sale, detectivul belgian va descoperi ce consecinţe tragice a avut un celebru caz de răpire și ucidere a unui copil asupra familiei acestuia și a apropiaţilor. lar în cele din urmă, va trebui să răspundă la o întrebare cu care nu s-a mai confruntat: Poate fi crima justificabilă? Cel mai fascinant si mai celebru caz al lui Hercule Poirot.",03 04 202420:30:33,https://firebasestorage.googleapis.com/v0/b/bookstore-7c44c.appspot.com/o/Book%20Images%2FIMG_202403004_203000.jpg03%2004%20202420%3A30%3A33.jpg?alt=media&token=d7b09dc3-3f54-4bb8-9106-b464e03836cc,0734199140,0,Crima din orient express,crimă
03 04 202420:31:41,Jay Shetty,"Superputerea lui Jay Shetty este să facă înțelepciunea accesibilă și relevantă. Cartea sa este profundă, practică și îţi atrage atenţia. Credem că va ajuta multă lume să iși creeze noi obiceiuri, practici și o înțelepciune de viată care îi va conduce spre existenta pe care si-o doresc cu adevărat."" WILL SMITH & JADA PINKETT SMITH
 ,,Jay Shetty îţi arată pas cu pas cum să îţi construiești puterea prin schimbarea accentului de la imaginea de sine la respectul de sine. Această carte te eliberează de hipnoza condiționării sociale și te ajută să devii arhitectul propriei vieți."" DEEPAK CHOPRA, profesor de medicină. Universitatea din California, San Diego și autor de bestselleruri New York Times
 ,Jay a făcut o călătorie fascinantă, de la sala de clasă in ashram si în domeniul financiar şi acum în lumea antreprenorilor. Îmi place cum a reușit să iși aducă experiența, învătăturile și dragostea pentru o viaţă conștientă și plină de scop în atenția a milioane de oameni din întreaga lume. Această carte este un ghid clar si plin de forță pentru dobândirea unei vieţi echilibrate."" NOVAK DJOKOV",03 04 202420:31:41,https://firebasestorage.googleapis.com/v0/b/bookstore-7c44c.appspot.com/o/Book%20Images%2FIMG_202403004_203055.jpg03%2004%20202420%3A31%3A41.jpg?alt=media&token=33798603-0e97-4dec-a076-507e5afc56d0,0734199140,65,Gândește ca un călugăr,"dezvoltare personală, spiritualitate"
